District,County,Split,CPVI (Party),CPVI (Score)
1,Delaware,No,D,28
1,Philadelphia,No,,
2,Delaware,No,D,38
2,Philadelphia,No,,
3,Erie,Yes,R,8
3,Crawford,No,,
3,Mercer,No,,
3,Lawrence,Yes,,
3,Butler,No,,
3,Armstrong,No,,
3,Clarion,Yes,,
4,Adams,No,R,9
4,York,No,,
4,Cumberland,Yes,,
4,Dauphin,Yes,,
5,Erie,Yes,R,8
5,Warren,No,,
5,McKean,No,,
5,Potter,No,,
5,Tioga,Yes,,
5,Venango,No,,
5,Forest,No,,
5,Clarion,Yes,,
5,Elk,No,,
5,Cameron,No,,
5,Clinton,No,,
5,Jefferson,No,,
5,Clearfield,No,,
5,Centre,No,,
5,Huntingdon,Yes,,
6,Chester,Yes,R,2
6,Lebanon,Yes,,
6,Montgomery,Yes,,
6,Berks,Yes,,
7,Montgomery,Yes,R,2
8,Bucks,No,R,1
9,Indiana,No,R,14
9,Cambria,Yes,,
9,Blair,No,,
9,Huntingdon ,Yes,,
9,Greene,Yes,,
9,Fayette,No,,
9,Somerset,Yes,,
9,Bedford,No,,
9,Fulton,No,,
9,Franklin,No,,
10,Tioga,Yes,R,12
10,Bradford,No,,
10,Susquehanna,No,,
10,Wayne,No,,
10,Pike,No,,
10,Monroe,Yes,,
10,Lackawanna,Yes,,
10,Lycoming,No,,
10,Sullivan,No,,
10,Union,No,,
10,Montour,Yes,,
10,Union,No,,
10,Snyder,No,,
10,Mifflin,No,,
10,Juniata,No,,
10,Perry,Yes,,
11,Wyoming,No,R,6
11,Luzerne,Yes,,
11,Carbon,No,,
11,Montour,Yes,,
11,Columbia,No,,
11,Northumberland,No,,
11,Dauphin,Yes,,
11,Perry,Yes,,
11,Cumberland,Yes,,
12,Lawrence,Yes,R,9
12,Beaver,No,,
12,Allegheny ,Yes,,
12,Westmoreland,Yes,,
12,Cambria,Yes,,
12,Somerset,Yes,,
13,Philadelphia,Yes,D,13
13,Montgomery,Yes,,
14,Allegheny ,Yes,D,15
15,Dauphin,Yes,R,2
15,Lebanon,Yes,,
15,Berks,Yes,,
15,Lehigh,No,,
15,Northampton,Yes,,
16,Lancaster,Yes,R,4
16,Chester,Yes,,
17,Schuykill,No,D,4
17,Carbon,Yes,,
17,Monroe,Yes,,
17,Northampton,Yes,,
17,Luzerne,Yes,,
17,Lackawanna,Yes,,
18,Greene,No,R,10
18,Washington,No,,
18,Allegheny ,Yes
18,Westmoreland,No
