,"Population estimates, July 1, 2015,  (V2015)","Population estimates base, April 1, 2010,  (V2015)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2015,  (V2015)","Population, Census, April 1, 2010","Persons under 5 years, percent, July 1, 2015,  (V2015)","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, July 1, 2015,  (V2015)","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent,  July 1, 2015,  (V2015)","Persons 65 years and over, percent, April 1, 2010","Female persons, percent,  July 1, 2015,  (V2015)","Female persons, percent, April 1, 2010","White alone, percent, July 1, 2015,  (V2015)  (a)","White alone, percent, April 1, 2010  (a)","Black or African American alone, percent, July 1, 2015,  (V2015)  (a)","Black or African American alone, percent, April 1, 2010  (a)","American Indian and Alaska Native alone, percent, July 1, 2015,  (V2015)  (a)","American Indian and Alaska Native alone, percent, April 1, 2010  (a)","Asian alone, percent, July 1, 2015,  (V2015)  (a)","Asian alone, percent, April 1, 2010  (a)","Two or More Races, percent, July 1, 2015,  (V2015)","Two or More Races, percent, April 1, 2010","Hispanic or Latino, percent, July 1, 2015,  (V2015)  (b)","Hispanic or Latino, percent, April 1, 2010  (b)","White alone, not Hispanic or Latino, percent, July 1, 2015,  (V2015)","White alone, not Hispanic or Latino, percent, April 1, 2010","Veterans, 2011-2015","Foreign born persons, percent, 2011-2015","Housing units,  July 1, 2015,  (V2015)","Housing units, April 1, 2010","Owner-occupied housing unit rate, 2011-2015","Median value of owner-occupied housing units, 2011-2015","Median selected monthly owner costs -with a mortgage, 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Median gross rent, 2011-2015","Building permits, 2015","Households, 2011-2015","Persons per household, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","With a disability, under age 65 years, percent, 2011-2015","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2011-2015","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Total accommodation and food services sales, 2012 ($1,000)  (c)","Total health care and social assistance receipts/revenue, 2012 ($1,000)  (c)","Total manufacturers shipments, 2012 ($1,000)  (c)","Total merchant wholesaler sales, 2012 ($1,000)  (c)","Total retail sales, 2012 ($1,000)  (c)","Total retail sales per capita, 2012  (c)","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Median household income (in 2015 dollars), 2011-2015","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons in poverty, percent","Total employer establishments, 2014","Total employment, 2014","Total annual payroll, 2014 ($1,000)","Total employment, percent change, 2013-2014","Total nonemployer establishments, 2014","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
"Berks County, Pennsylvania",415271,411572,0.9,411442,5.9,6.1,22.7,23.9,16.2,14.5,50.9,50.9,88.4,83.2,6.8,4.9,0.8,0.3,1.6,1.3,2.2,2.5,19.4,16.4,73.4,76.9,27552,6.9,164904,164827,71.9,168200,1477,579,851,416,153312,2.61,87.4,17,85.1,23.2,9.6,11.7,65.8,61.2,548812,2588924,10905129,4277431,5719377,13832,24.4,55936,27146,14.3,8274,149151,6527380,0.1,24160,30342,17633,9700,4659,24693,2864,25964,480.4,856.51,"""42011"""
"Bedford County, Pennsylvania",48586,49768,-2.4,49762,5,5.3,20.4,21.6,20.9,19,50.1,50.4,97.8,98,0.7,0.5,0.2,0.2,0.3,0.2,1,0.8,1.1,0.9,96.9,97.5,3973,0.5,24012,23954,79.7,122700,1062,367,630,49,20000,2.43,92.8,3.1,86,13.5,12.6,11.6,60.4,53.9,78629,148864,862951,350554,576180,11682,27.8,45930,23195,13.6,1032,12873,413044,-3.2,3268,3715,2271,812,62,3472,465,2971,49.2,1012.3,"""42009"""
"Beaver County, Pennsylvania",168871,170539,-1,170539,5.1,5.3,19.6,20.5,20.1,18.6,51.6,51.8,91,91.2,6.4,6.3,0.1,0.1,0.5,0.4,1.9,1.7,1.5,1.2,89.8,90.4,14688,1.8,78327,78211,73,120100,1168,461,645,104,70079,2.38,89.4,2.8,91.7,22.8,10.4,8.7,61.9,56.8,191785,779616,4615008,1179512,1590246,9341,25,50581,27233,11.7,3445,50618,1919471,3,8601,11951,7488,3383,450,11025,1309,9981,392.3,434.71,"""42007"""
"Armstrong County, Pennsylvania",67052,68938,-2.7,68941,4.9,5.2,19.4,20.6,20.7,18.4,50.3,50.7,97.8,98,0.9,0.8,0.1,0.1,0.3,0.2,0.9,0.8,0.7,0.5,97.2,97.7,5974,0.5,32338,32520,75.1,96000,1035,393,607,25,28524,2.36,90.6,1.8,88.9,15,13.9,9.6,58.2,52.4,42742,246437,324072,217244,551223,8058,28.8,44942,24391,13.8,1320,14409,501626,-0.4,3574,4749,2768,1301,27,4567,610,3859,105.5,653.2,"""42005"""
"Allegheny County, Pennsylvania",1230459,1223348,0.6,1223348,5.3,5.2,19,19.8,17.7,16.8,51.7,52.1,80.7,81.5,13.4,13.2,0.2,0.1,3.6,2.8,2.1,1.8,2,1.6,79.1,80.6,85568,5.5,590680,589201,64.8,129600,1282,501,780,2957,529534,2.26,86.8,7.2,93.5,37.8,8.8,8,64.4,59.7,2940576,12756157,16279472,27237933,20553747,16719,26.4,53040,32848,13.1,33614,703336,35282433,1.1,77932,96501,56123,30671,12104,80217,9916,81176,1675.6,730.08,"""42003"""
"Adams County, Pennsylvania",102295,101417,0.9,101407,5.1,5.5,20.6,22.1,18.8,15.7,50.6,50.8,95.3,93.7,2,1.5,0.4,0.2,0.9,0.7,1.4,1.3,6.8,6,89.3,90.6,8040,4,41462,40820,77.3,193100,1534,514,838,240,38193,2.55,87.3,6.4,87.3,21.7,9.1,10.2,64.4,59.5,185678,448158,2148659,0,801241,7895,27.2,60356,27870,10.8,1930,28076,1000843,0.5,6475,7450,4222,2403,201,6988,850,6145,195.5,518.67,"""42001"""
"Cameron County, Pennsylvania",4732,5085,-6.9,5085,4.6,4.3,17.2,19.4,24.7,21.4,50.6,50.9,97.7,98.3,0.5,0.3,0.4,0.3,0.3,0.3,1.1,0.8,0.9,0.4,97,98,556,1.4,4387,4455,70.3,70600,974,366,576,0,2170,2.2,88.3,1.6,89.5,15.7,14.3,10.2,56.8,49.6,0,0,0,0,30903,6257,15.9,39897,25240,14.2,112,1613,53627,2.2,224,401,210,164,0,382,38,342,12.8,396.23,"""42023"""
"Cambria County, Pennsylvania",136411,143674,-5.1,143679,4.9,5,19.3,19.7,20.9,18.8,50.8,50.6,94.2,94.1,3.6,3.6,0.1,0.1,0.6,0.5,1.5,1.2,1.6,1.4,93,93.3,12171,1.2,65126,65650,73.9,87100,1001,421,566,47,57465,2.28,88.8,2.9,89.6,19.1,12.6,8.9,54.9,50.9,179029,1047349,1798810,664908,1733778,12246,23.7,42107,23410,15.3,3286,47647,1645990,-1,6180,8860,4632,2856,523,7807,789,7308,208.7,688.35,"""42021"""
"Butler County, Pennsylvania",186818,183862,1.6,183862,5,5.4,20.6,22.4,17.4,15.1,50.7,50.8,96.3,96.6,1.3,1.1,0.1,0.1,1.2,1,1.1,0.9,1.4,1.1,95.1,95.9,14417,2,80787,78167,76.8,178100,1409,464,752,964,74476,2.42,88.8,2.9,93,32.3,7.5,7.2,64.6,58.7,326604,1198551,4630016,3353848,2902229,15690,26.2,60934,32301,8.9,4815,80370,3591983,0.5,11596,14107,8186,4203,484,13077,1547,11548,233.1,788.6,"""42019"""
"Bucks County, Pennsylvania",627367,625255,0.3,625249,4.9,5.5,21.1,23,17.2,14.6,51,51,89.1,89.2,4.2,3.6,0.3,0.2,4.8,3.8,1.6,1.7,5,4.3,84.8,86.9,38132,8.3,247207,245956,76.4,308800,2070,751,1137,1066,233066,2.65,91.5,11.2,93.5,37.4,6.6,6.9,68,62.5,1136076,3735597,9681380,12999722,10185137,16243,29,77568,38795,6.6,18952,244396,10758214,-0.6,51033,64386,40579,17690,5202,57516,6536,55244,1034.7,604.31,"""42017"""
