Director,Released,Title,Writer,Year,imdbID,imdbRating,Actor1,Actor2,Actor3,Actor4,dircount,writcount,a1count,a2count,a3count,a4count,starpower
Frank Darabont,14 Oct 1994,The Shawshank Redemption,"Stephen King (short story ""Rita Hayworth and Shawshank Redemption""), Frank Darabont (screenplay)",1994,tt0111161,9.3,Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler,2,1,1,1,1,1,7
Frank Darabont,10 Dec 1999,The Green Mile,"Stephen King (novel), Frank Darabont (screenplay)",1999,tt0120689,8.5,Tom Hanks, David Morse, Michael Clarke Duncan, Bonnie Hunt,2,1,5,1,1,1,11
Steven Spielberg,24 Jul 1998,Saving Private Ryan,Robert Rodat,1998,tt0120815,8.6,Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper,7,1,5,1,1,1,16
Robert Zemeckis,06 Jul 1994,Forrest Gump,"Winston Groom (novel), Eric Roth (screenplay)",1994,tt0109830,8.8,Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys,2,1,5,1,1,1,11
John Lasseter,22 Nov 1995,Toy Story,"John Lasseter (original story by), Pete Docter (original story by), Andrew Stanton (original story by), Joe Ranft (original story by), Joss Whedon (screenplay), Andrew Stanton (screenplay), Joel Cohen (screenplay), Alec Sokolow (screenplay)",1995,tt0114709,8.3,Tom Hanks, Tim Allen, Don Rickles, Jim Varney,1,1,5,2,1,1,11
Lee Unkrich,18 Jun 2010,Toy Story 3,"John Lasseter (story by), Andrew Stanton (story by), Lee Unkrich (story by), Michael Arndt (screenplay)",2010,tt0435761,8.3,Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty,1,1,5,2,1,1,11
Francis Ford Coppola,24 Mar 1972,The Godfather,"Mario Puzo (screenplay), Francis Ford Coppola (screenplay), Mario Puzo (novel)",1972,tt0068646,9.2,Marlon Brando, Al Pacino, James Caan, Richard S. Castellano,3,1,3,1,1,1,10
Francis Ford Coppola,15 Aug 1979,Apocalypse Now,"John Milius, Francis Ford Coppola, Michael Herr (narration)",1979,tt0078788,8.5,Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest,3,1,3,1,1,1,10
Elia Kazan,22 Jun 1954,On the Waterfront,"Budd Schulberg (screenplay), Budd Schulberg (based upon an original story by), Malcolm Johnson (suggested by articles by)",1954,tt0047296,8.2,Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger,1,1,3,1,2,1,9
Sidney Lumet,01 Apr 1957,12 Angry Men,"Reginald Rose (story), Reginald Rose (screenplay)",1957,tt0050083,8.9,Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall,3,1,1,1,2,1,9
Francis Ford Coppola,20 Dec 1974,The Godfather: Part II,"Francis Ford Coppola (screenplay), Mario Puzo (screenplay), Mario Puzo (novel)",1974,tt0071562,9.0,Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro,3,1,3,1,1,1,10
